Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
4,House,House,"199,000",6850,Luxemburg,153,Semi equipped,No,No,0,No,0,No,0,1640,4,No,To renovate
3,House,House,Make,6001,Henegouwen,105,Installed,No,No,0,Yes,275,Yes,10,228,2,No,As new
2,House,House,"210,000",4051,Luik,110,Hyper equipped,No,No,0,Yes,16,Yes,48,210,2,No,Good
3,House,House,"210,000",6600,Luxemburg,0,Semi equipped,No,No,0,No,0,No,0,2307,4,No,Good
3,House,House,"214,000",4870,Luik,180,Not installed,No,No,0,Yes,40,Yes,25,215,3,No,To renovate
3,House,Town-house,Make,6200,Henegouwen,128,Installed,No,No,0,Yes,210,Yes,25,315,3,No,Just renovated
3,House,House,"219,000",4100,Luik,100,Semi equipped,No,No,0,No,0,Yes,31,250,2,No,Good
5,House,House,Make,6040,Henegouwen,210,USA installed,No,No,0,Yes,130,Yes,20,210,2,No,As new
3,House,House,Make,6230,Henegouwen,135,Installed,No,No,0,Yes,150,No,0,223,2,No,Good
4,House,House,"219,000",6240,Henegouwen,190,Installed,No,No,0,Yes,300,Yes,50,436,2,No,Just renovated
3,House,House,"220,000",6790,Luxemburg,120,0,No,No,0,No,0,No,0,840,4,No,To renovate
3,House,House,"220,790",6950,Henegouwen,109,Installed,No,No,0,No,0,Yes,12,203,3,No,Unknown
3,House,House,"225,000",3020,Vlaams-brabant,101,Semi equipped,No,No,0,No,0,No,0,60,2,No,To renovate
3,House,House,"225,000",6840,Luxemburg,126,Semi equipped,No,No,0,No,0,No,0,150,2,No,To be done up
3,House,House,Make,5060,Namen,150,Installed,No,No,0,Yes,650,Yes,50,744,3,No,Good
3,House,House,"229,000",5300,Namen,90,Installed,No,No,0,Yes,500,Yes,30,802,4,No,Just renovated
3,House,House,Make,6230,Henegouwen,160,Installed,No,No,0,Yes,400,Yes,10,480,2,No,Good
4,House,House,"230,000",5377,Namen,134,Semi equipped,No,No,0,No,0,No,0,794,4,No,To be done up
3,House,House,"230,000",7500,Henegouwen,206,Installed,No,No,0,No,0,No,0,367,2,No,Good
3,House,House,"230,000",7640,Henegouwen,206,Installed,No,No,0,No,0,No,0,367,2,No,Good
3,House,House,"235,000",4000,Luik,110,Installed,No,No,0,No,0,No,0,379,4,No,To renovate
4,House,House,"235,000",4520,Luik,250,Semi equipped,No,No,0,Yes,250,No,0,394,3,No,To be done up
3,House,House,"235,000",4610,Luik,180,Installed,No,No,0,Yes,150,Yes,11,245,2,No,Good
3,House,House,Make,7300,Henegouwen,120,Hyper equipped,No,No,0,Yes,2,Yes,8,395,3,No,Good
5,House,Villa,"245,000",7822,Henegouwen,250,Semi equipped,No,No,0,Yes,1013,No,0,1013,4,No,To renovate
4,House,House,"245,000",9600,Oost-vlaanderen,189,Hyper equipped,Yes,No,0,Yes,75,Yes,15,175,2,No,As new
2,House,House,"249,000",5550,Namen,137,Installed,No,No,0,No,0,No,0,5115,4,No,Good
3,House,House,Make,6010,Henegouwen,200,Installed,No,No,0,Yes,120,Yes,20,320,3,No,Just renovated
5,House,House,"250,000",4500,Luik,220,Installed,No,No,0,No,0,Yes,50,292,3,No,To be done up
4,House,House,"255,000",6970,Luxemburg,0,Installed,No,No,0,No,0,No,0,884,4,No,Just renovated
2,House,House,"259,000",2640,Antwerpen,154,0,No,Yes,1,No,0,No,0,175,2,No,To renovate
4,House,House,"259,000",4480,Luik,161,Semi equipped,No,Yes,1,Yes,250,Yes,25,479,3,No,Good
3,House,House,Make,6060,Henegouwen,135,Installed,No,No,0,Yes,400,Yes,20,500,4,No,Good
6,House,House,"265,000",1070,Brussels,152,Not installed,No,No,0,No,0,Yes,30,77,2,No,To renovate
3,House,Mixed-use building,"265,000",4020,Luik,175,Not installed,No,No,0,No,0,No,0,278,3,No,To renovate
3,House,House,"269,000",2870,Antwerpen,150,Semi equipped,No,No,0,No,0,No,0,200,4,No,To renovate
3,House,Villa,"269,000",4620,Luik,125,Semi equipped,No,No,0,Yes,300,No,0,634,4,No,To be done up
4,House,House,"275,000",4530,Luik,230,Semi equipped,No,No,0,Yes,487,Yes,20,687,3,No,Good
3,House,House,"275,000",4540,Luik,165,Semi equipped,No,No,0,Yes,700,No,0,828,3,No,Good
4,Apartment,Apartment block,"275,000",6830,Luxemburg,245,Installed,0,No,0,No,0,No,0,130,3,No,Good
3,House,House,Make,6181,Henegouwen,160,Installed,No,No,0,Yes,520,Yes,30,600,4,No,Just renovated
3,House,House,Make,6700,Luxemburg,132,Installed,No,No,0,Yes,300,Yes,10,441,3,No,Good
3,House,House,Make,6230,Henegouwen,190,Semi equipped,No,No,0,Yes,300,Yes,20,416,2,No,As new
3,House,House,"289,000",6800,Luxemburg,139,Installed,No,No,0,No,0,No,0,898,3,No,Good
3,House,House,"290,000",3370,Vlaams-brabant,171,Semi equipped,No,No,0,No,0,No,0,743,3,No,To renovate
3,House,House,"297,000",3350,Vlaams-brabant,247,Semi equipped,No,No,0,No,0,Yes,42,1562,4,No,To renovate
2,House,House,"299,000",4020,Luik,454,Not installed,Yes,No,0,No,0,No,0,860,3,No,To be done up
3,House,House,"299,000",4020,Luik,140,0,No,No,0,No,0,Yes,8,250,3,No,As new
3,House,Mixed-use building,Make,6230,Henegouwen,218,Hyper equipped,No,No,0,Yes,50,Yes,10,250,3,No,Good
4,House,House,"299,000",7870,Henegouwen,160,Installed,No,No,0,No,0,No,0,1700,4,No,Unknown
3,House,House,"299,000",9200,Oost-vlaanderen,175,Installed,No,Yes,1,No,0,No,0,232,3,No,Good
5,House,Mansion,"299,500",9600,Oost-vlaanderen,418,Installed,No,No,0,No,0,No,0,525,3,No,Good
4,House,House,"300,000",6600,Luxemburg,410,Installed,No,No,0,No,0,No,0,600,4,No,Good
2,House,House,"305,000",1730,Vlaams-brabant,95,USA hyper equipped,No,No,0,Yes,35,No,0,50,3,No,As new
6,House,House,"310,000",6820,Luxemburg,286,Semi equipped,No,No,0,No,0,No,0,0,2,No,Good
2,House,House,"315,000",9820,Oost-vlaanderen,135,Semi equipped,No,No,0,No,0,No,0,551,3,No,To renovate
5,House,House,"320,000",4480,Luik,411,Installed,No,No,0,Yes,500,Yes,35,687,2,No,As new
5,House,House,"325,000",1400,Waals-brabant,320,Semi equipped,No,No,0,No,0,No,0,170,2,No,Good
3,House,House,"325,000",4500,Luik,150,Installed,No,No,0,Yes,1100,Yes,30,1237,4,No,As new
5,House,House,"325,000",9255,Oost-vlaanderen,199,0,No,No,0,No,0,No,0,334,2,No,To be done up
2,House,House,"339,000",1861,Vlaams-brabant,130,Installed,No,No,0,Yes,100,No,0,142,2,No,Good
3,House,House,"345,000",1420,Waals-brabant,130,Installed,No,No,0,No,0,No,0,591,4,No,To be done up
4,House,House,"345,000",4000,Luik,146,Not installed,No,No,0,No,0,Yes,5,5,0,No,Good
4,Apartment,Apartment block,"345,000",4000,Luik,146,Not installed,No,No,0,No,0,Yes,5,5,0,No,Good
4,House,House,"345,000",4000,Luik,146,Not installed,No,No,0,No,0,Yes,5,5,0,No,Good
4,Apartment,Apartment block,"345,000",4000,Luik,146,Not installed,No,No,0,No,0,Yes,5,5,0,No,Good
4,House,House,"349,000",1740,Vlaams-brabant,132,Installed,No,No,0,Yes,394,Yes,27,533,2,No,As new
4,House,House,"349,000",1785,Vlaams-brabant,187,Semi equipped,No,No,0,No,0,No,0,245,4,No,Good
4,House,House,"349,000",4460,Luik,235,Installed,No,No,0,No,0,No,0,550,4,No,As new
2,House,House,"350,000",1160,Brussels,110,Installed,No,No,0,Yes,135,No,0,0,2,No,To be done up
5,Apartment,Apartment block,Make,6600,Luxemburg,677,Installed,No,No,0,Yes,1300,No,0,2268,4,No,Good
4,House,House,"350,000",9000,Oost-vlaanderen,229,Installed,No,No,0,No,0,Yes,30,109,2,No,Just renovated
4,House,House,"358,000",9991,Oost-vlaanderen,208,Semi equipped,No,Yes,1,No,0,No,0,935,4,No,To renovate
3,House,House,"359,000",1500,Vlaams-brabant,153,Installed,No,Yes,1,No,0,Yes,24,170,2,No,Good
3,House,House,"359,000",1501,Vlaams-brabant,153,Installed,No,Yes,1,No,0,Yes,24,170,2,No,Good
4,House,House,"359,000",2620,Antwerpen,165,Hyper equipped,No,No,0,No,0,No,0,180,2,No,Just renovated
3,House,House,"369,900",1742,Vlaams-brabant,150,Installed,No,No,0,Yes,125,Yes,7,267,3,No,As new
3,House,House,"375,000",1390,Waals-brabant,184,Installed,0,No,0,Yes,1070,No,0,1070,3,No,To be done up
3,House,House,"380,000",6700,Luxemburg,128,Installed,No,No,0,No,0,No,0,422,4,No,Good
11,House,House,"380,000",6833,Luxemburg,687,Hyper equipped,0,No,0,No,0,No,0,1012,4,No,To be done up
4,House,House,"395,000",2860,Antwerpen,165,Semi equipped,No,No,0,No,0,No,0,448,3,No,To be done up
4,House,House,"395,000",4540,Luik,240,Installed,No,No,0,No,0,No,0,879,4,No,Good
3,House,House,"395,000",4870,Luik,210,Installed,No,No,0,Yes,3000,Yes,45,3788,4,No,Good
7,House,House,"395,000",6700,Luxemburg,339,Not installed,No,No,0,Yes,200,Yes,25,289,2,No,To renovate
7,Apartment,Apartment block,"395,000",6700,Luxemburg,339,Not installed,No,No,0,Yes,200,Yes,25,289,2,No,To renovate
7,House,Mixed-use building,"395,000",6700,Luxemburg,339,Not installed,No,No,0,Yes,200,Yes,25,289,2,No,To renovate
5,House,House,Make,1300,Waals-brabant,220,Installed,No,No,0,Yes,150,Yes,40,300,3,No,Just renovated
4,House,House,Make,5621,Namen,277,Installed,No,No,0,Yes,1200,Yes,50,1406,4,Yes,Good
2,House,House,"399,000",8000,West-vlaanderen,115,Installed,No,No,0,No,0,No,0,58,2,No,Good
4,House,House,"410,000",6720,Luxemburg,309,Hyper equipped,No,No,0,Yes,150,No,0,380,3,No,As new
3,House,House,"415,000",1800,Vlaams-brabant,175,USA installed,No,No,0,Yes,20,Yes,24,133,2,No,Good
2,House,House,"419,000",1745,Vlaams-brabant,185,Semi equipped,No,No,0,No,0,No,0,410,4,No,Just renovated
4,House,House,"419,000",8000,West-vlaanderen,165,Installed,No,No,0,No,0,Yes,15,85,2,No,Just renovated
3,House,Mixed-use building,"420,000",4000,Luik,210,Installed,No,No,0,No,0,No,0,0,2,No,Good
5,House,House,"420,000",6730,Luxemburg,331,Installed,No,No,0,No,0,No,0,2075,2,No,As new
3,House,House,"425,000",1410,Waals-brabant,153,Installed,No,No,0,No,0,Yes,25,175,2,No,Good
3,House,House,"425,000",1840,Vlaams-brabant,214,Installed,No,No,0,No,0,No,0,329,3,No,Good
2,House,House,"425,000",9090,Oost-vlaanderen,156,Semi equipped,No,No,0,No,0,No,0,677,4,No,To be done up
4,House,House,"439,000",1790,Vlaams-brabant,240,Installed,0,No,0,Yes,700,Yes,70,940,4,No,Just renovated
4,House,Mansion,"439,500",9600,Oost-vlaanderen,200,Semi equipped,No,No,0,No,0,No,0,80,2,No,Good
4,House,Mansion,"439,500",9600,Oost-vlaanderen,200,Semi equipped,No,No,0,No,0,No,0,80,2,No,Good
6,Apartment,Apartment block,Make,6717,Luxemburg,281,Installed,0,No,0,No,0,No,0,235,2,No,Good
2,House,Villa,"445,000",4500,Luik,175,Installed,No,Yes,1,Yes,3750,Yes,60,3912,4,No,As new
6,House,Mixed-use building,"450,000",1020,Brussels,265,Hyper equipped,No,No,0,No,0,Yes,25,107,2,No,Good
3,House,House,"450,000",1820,Vlaams-brabant,190,Hyper equipped,No,No,0,No,0,Yes,100,358,3,No,Good
4,House,House,"450,000",6700,Luxemburg,144,Installed,No,No,0,No,0,No,0,4030,4,No,To renovate
5,Apartment,Apartment block,"470,000",4000,Luik,150,Semi equipped,No,No,0,No,0,Yes,20,103,2,No,Just renovated
5,House,House,"474,000",1390,Waals-brabant,192,Installed,No,No,0,Yes,1200,Yes,20,1680,4,No,Good
4,House,Villa,"495,000",1420,Waals-brabant,170,Installed,No,Yes,1,No,0,No,0,1591,4,No,To be done up
5,House,Country house,"499,000",7890,Henegouwen,317,Semi equipped,No,No,0,No,0,No,0,2616,4,No,Good
4,House,Villa,"508,000",1650,Vlaams-brabant,158,Semi equipped,No,No,0,No,0,No,0,1298,4,No,Good
3,House,House,"545,000",1330,Waals-brabant,175,Installed,No,No,0,Yes,1027,No,0,1027,4,No,Good
3,House,House,"549,000",1700,Vlaams-brabant,260,Semi equipped,No,Yes,1,No,0,Yes,30,904,4,No,To be done up
3,House,House,"550,000",6700,Luxemburg,166,Installed,No,No,0,No,0,No,0,459,2,No,Good
4,House,House,"559,000",4540,Luik,320,Installed,No,Yes,1,No,0,No,0,1950,4,No,Good
4,House,Villa,"580,000",1410,Waals-brabant,180,Installed,No,Yes,1,No,0,No,0,859,4,No,To be done up
4,House,Villa,"589,000",4960,Luik,320,0,No,No,0,Yes,800,Yes,66,1273,4,No,Unknown
5,Apartment,Apartment block,Make,1090,Brussels,281,Hyper equipped,No,No,0,Yes,65,Yes,15,80,2,No,Good
4,House,Villa,"595,000",1410,Waals-brabant,180,Installed,No,No,0,No,0,No,0,738,4,No,Good
4,House,House,"619,000",2830,Antwerpen,216,Installed,No,No,0,No,0,No,0,752,4,No,Good
6,House,House,"625,000",6830,Luxemburg,340,Installed,0,No,0,No,0,No,0,1950,4,No,Good
4,House,House,"645,000",8580,West-vlaanderen,446,Hyper equipped,No,No,0,No,0,No,0,2447,4,No,As new
4,House,House,"649,000",9660,Oost-vlaanderen,254,Installed,No,Yes,1,No,0,Yes,25,2330,2,No,Unknown
5,House,House,"650,000",1150,Brussels,204,Semi equipped,No,No,0,Yes,50,No,0,131,2,No,To renovate
6,House,House,"650,000",6860,Luxemburg,267,Installed,No,No,0,No,0,No,0,7792,4,No,Good
3,Apartment,Apartment block,"660,000",1160,Brussels,192,USA hyper equipped,No,No,0,No,0,No,0,73,3,No,Good
5,House,House,"675,000",6700,Luxemburg,273,Installed,No,No,0,Yes,1500,Yes,40,1774,4,No,Just renovated
3,House,House,"680,000",3051,Vlaams-brabant,280,Installed,No,No,0,No,0,No,0,423,4,No,Good
4,House,Exceptional property,"745,000",5032,Namen,384,Hyper equipped,No,No,0,Yes,800,Yes,50,1000,3,No,As new
6,Apartment,Apartment block,"775,000",1180,Brussels,237,Installed,No,No,0,No,0,Yes,14,0,3,No,Good
4,House,House,"775,000",1755,Vlaams-brabant,291,Installed,No,No,0,Yes,8937,Yes,157,9266,4,No,As new
4,House,Country house,"775,000",1755,Vlaams-brabant,291,Installed,No,No,0,Yes,8937,Yes,157,9266,4,No,As new
3,House,House,"790,000",6680,Luxemburg,340,Installed,No,No,0,Yes,15344,Yes,100,15870,4,No,Good
5,House,House,Make,1300,Waals-brabant,340,Hyper equipped,No,No,0,Yes,2580,Yes,150,2580,4,No,As new
5,Apartment,Apartment block,"799,000",1000,Brussels,355,USA installed,Yes,No,0,No,0,Yes,12,0,2,No,Good
5,House,Villa,"819,000",1701,Vlaams-brabant,0,Hyper equipped,0,No,0,No,0,No,0,2632,4,Yes,As new
4,House,House,"845,000",9600,Oost-vlaanderen,407,Installed,No,No,0,No,0,No,0,21451,4,No,Good
5,House,Exceptional property,"895,000",4550,Luik,450,USA hyper equipped,No,No,0,Yes,5000,No,0,6200,4,Yes,As new
4,House,House,"990,000",1500,Vlaams-brabant,254,Installed,No,No,0,No,0,No,0,3615,4,No,Good
4,House,House,"990,000",1650,Vlaams-brabant,254,Installed,No,No,0,No,0,No,0,3615,4,No,Good
6,House,Villa,"1,150,000",1700,Vlaams-brabant,360,USA hyper equipped,No,No,0,Yes,2700,No,0,2767,4,No,As new
4,House,Villa,"1,195,000",8300,West-vlaanderen,238,Hyper equipped,No,No,0,No,0,No,0,709,4,No,As new
4,House,Villa,"1,299,000",9400,Oost-vlaanderen,436,Installed,No,No,0,Yes,1254,Yes,165,2500,4,Yes,As new
4,House,Villa,"1,325,000",8300,West-vlaanderen,358,USA hyper equipped,No,No,0,Yes,625,No,0,625,4,No,As new
10,Apartment,Apartment block,"1,380,000",2170,Antwerpen,560,Installed,Yes,No,0,No,0,No,0,206,2,No,Just renovated
5,House,Mansion,"1,449,500",2018,Antwerpen,342,Hyper equipped,No,No,0,Yes,35,No,0,143,2,No,Just renovated
5,House,Villa,"1,450,000",1410,Waals-brabant,365,Hyper equipped,No,Yes,1,No,0,No,0,1905,4,No,Good
6,House,House,"1,600,000",1050,Brussels,405,USA hyper equipped,No,No,0,Yes,260,Yes,25,400,2,No,Good
4,House,Villa,"2,595,000",8300,West-vlaanderen,238,Hyper equipped,No,No,0,Yes,599,No,0,599,3,No,As new
7,House,Villa,"2,750,000",1180,Brussels,450,Hyper equipped,0,No,0,No,0,No,0,2600,4,No,As new
6,House,House,"2,900,000",1310,Waals-brabant,1000,Installed,No,Yes,2,No,0,No,0,30000,4,No,Good
2,Apartment,Apartment,"265,000",2830,Antwerpen,107,Hyper equipped,No,No,0,No,0,Yes,12,0,2,No,Good
4,Apartment,Loft,"395,000",1090,Brussels,179,Hyper equipped,No,No,0,Yes,200,Yes,11,0,2,No,Good
4,Apartment,Triplex,"795,000",1060,Brussels,420,Hyper equipped,0,No,0,Yes,55,Yes,45,0,3,No,As new
5,House,Villa,"1,875,000",1150,Brussels,540,0,No,No,0,No,0,No,0,620,4,No,As new
3,House,House,"285,000",1853,Vlaams-brabant,120,USA hyper equipped,No,No,0,Yes,27,No,0,0,2,No,Just renovated
4,House,Town-house,Make,1702,Vlaams-brabant,183,Hyper equipped,No,No,0,Yes,51,No,0,225,2,No,Good
3,House,House,"429,000",2221,Antwerpen,182,Semi equipped,No,No,0,No,0,No,0,1317,4,No,Unknown
2,Apartment,Apartment,"305,000",9800,Oost-vlaanderen,94,Installed,No,No,0,No,0,Yes,13,0,0,No,Unknown
2,Apartment,Apartment,"396,000",9800,Oost-vlaanderen,124,Installed,No,No,0,No,0,Yes,25,0,0,No,Unknown
3,House,House,Make,4000,Luik,140,Not installed,No,No,0,Yes,250,Yes,10,316,3,No,To renovate
2,House,House,"125,000",2660,Antwerpen,75,Semi equipped,No,No,0,Yes,3,No,0,58,2,No,To renovate
2,House,House,"189,500",4500,Luik,80,Semi equipped,No,No,0,No,0,No,0,992,3,No,Good
3,House,House,"380,000",1480,Waals-brabant,218,Installed,No,Yes,2,Yes,462,Yes,70,462,3,No,Just renovated
5,Apartment,Apartment block,"870,000",0,Unknown,420,Semi equipped,No,No,0,Yes,65,Yes,10,160,2,No,To renovate
3,Apartment,Duplex,Make,4500,Luik,165,Not installed,No,No,0,No,0,No,0,0,2,No,As new
1,Apartment,Ground floor,"250,000",1200,Brussels,61,Installed,No,No,0,Yes,38,No,0,0,2,No,To renovate
3,House,House,"350,000",6940,Henegouwen,158,0,No,No,0,No,0,No,0,2150,4,No,Unknown
2,Apartment,Apartment,"349,000",1070,Brussels,113,Hyper equipped,No,No,0,No,0,No,0,0,2,No,Just renovated
2,Apartment,Apartment,"245,000",1180,Brussels,75,0,No,No,0,No,0,No,0,0,2,No,To be done up
2,Apartment,Penthouse,"289,000",2250,Antwerpen,106,Installed,No,No,0,No,0,Yes,16,0,0,No,Unknown
3,Apartment,Apartment,"449,000",8430,West-vlaanderen,120,Installed,No,No,0,No,0,No,0,0,0,No,As new
2,House,House,"229,500",4550,Luik,120,Installed,No,No,0,No,0,No,0,570,4,No,Good
3,House,House,"235,000",0,Unknown,115,Semi equipped,No,No,0,Yes,134,Yes,17,229,2,No,Good
6,House,Town-house,"475,000",2100,Antwerpen,252,0,No,No,0,No,0,No,0,247,0,No,Unknown
4,House,House,"480,000",1050,Brussels,140,0,No,No,0,No,0,Yes,7,70,2,No,To be done up
7,House,House,"2,495,000",1200,Brussels,460,Hyper equipped,No,No,0,Yes,390,Yes,48,564,2,No,Just renovated
2,Apartment,Apartment,"215,000",1180,Brussels,70,Semi equipped,No,No,0,No,0,Yes,7,0,0,No,To be done up
1,Apartment,Apartment,"239,000",2000,Antwerpen,76,Installed,No,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"270,000",0,Unknown,110,Hyper equipped,No,No,0,No,0,Yes,16,0,2,No,Good
4,Apartment,Apartment,"525,000",0,Unknown,180,Hyper equipped,No,No,0,No,0,Yes,16,0,3,No,To be done up
3,Apartment,Apartment,"865,000",0,Unknown,165,Hyper equipped,No,No,0,No,0,Yes,24,0,2,No,As new
3,Apartment,Penthouse,"1,450,000",8430,West-vlaanderen,248,Hyper equipped,No,No,0,No,0,Yes,276,0,0,No,As new
1,Apartment,Studio,"87,500",8430,West-vlaanderen,39,Hyper equipped,No,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"109,000",4040,Luik,85,0,No,No,0,No,0,No,0,0,4,No,Good
2,Apartment,Apartment,"118,000",8580,West-vlaanderen,90,Semi equipped,No,No,0,No,0,No,0,0,0,No,To renovate
1,Apartment,Apartment,"138,500",1190,Brussels,47,Not installed,No,No,0,No,0,No,0,0,2,No,To renovate
2,Apartment,Apartment,Make,1400,Waals-brabant,61,Installed,No,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"139,500",8580,West-vlaanderen,85,Semi equipped,No,No,0,No,0,No,0,0,0,No,Good
1,Apartment,Kot,"149,000",3010,Vlaams-brabant,18,Installed,Yes,No,0,No,0,Yes,10,0,2,No,Unknown
1,Apartment,Apartment,"149,000",8430,West-vlaanderen,67,Semi equipped,No,No,0,No,0,No,0,0,2,No,To be done up
1,Apartment,Apartment,"151,000",7090,Henegouwen,67,Hyper equipped,0,No,0,No,0,Yes,3,0,3,No,As new
2,Apartment,Ground floor,"158,000",2660,Antwerpen,75,Semi equipped,No,No,0,No,0,No,0,0,2,No,As new
2,Apartment,Apartment,"159,000",6061,Henegouwen,68,Installed,No,No,0,No,0,No,0,0,3,No,As new
2,Apartment,Apartment,"159,000",8870,West-vlaanderen,92,0,No,No,0,No,0,No,0,0,2,No,Unknown
2,Apartment,Apartment,Make,6180,Henegouwen,97,Installed,No,No,0,No,0,No,0,0,3,No,As new
2,Apartment,Apartment,"160,000",6717,Luxemburg,95,Installed,No,No,0,No,0,No,0,0,3,No,Good
1,Apartment,Ground floor,"165,000",1090,Brussels,75,Not installed,No,No,0,No,0,No,0,0,0,No,To renovate
2,Apartment,Apartment,"165,000",9800,Oost-vlaanderen,73,Installed,No,No,0,No,0,Yes,9,0,2,No,Unknown
2,Apartment,Apartment,"165,000",9800,Oost-vlaanderen,73,Installed,No,No,0,No,0,Yes,9,0,2,No,Unknown
2,Apartment,Apartment,"170,000",1070,Brussels,65,Installed,No,No,0,No,0,Yes,10,0,0,No,Good
1,Apartment,Apartment,"175,000",8530,West-vlaanderen,55,Hyper equipped,No,No,0,No,0,No,0,0,0,No,Unknown
1,Apartment,Apartment,"179,500",6880,Luxemburg,70,Hyper equipped,No,No,0,No,0,Yes,13,0,4,No,Unknown
2,Apartment,Apartment,"183,000",4500,Luik,80,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"183,000",4500,Luik,80,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"185,000",6700,Luxemburg,105,Installed,No,No,0,No,0,No,0,0,2,No,Just renovated
2,Apartment,Apartment,"187,500",4430,Luik,99,Installed,No,No,0,No,0,Yes,8,0,0,No,Unknown
2,Apartment,Apartment,"188,000",4500,Luik,80,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"188,000",4500,Luik,80,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"189,500",4430,Luik,99,Installed,No,No,0,No,0,Yes,8,0,0,No,Unknown
2,Apartment,Apartment,"189,500",4430,Luik,96,Installed,No,No,0,No,0,Yes,8,0,0,No,Unknown
2,Apartment,Apartment,"194,000",6220,Henegouwen,97,Not installed,No,No,0,No,0,No,0,0,3,No,Unknown
2,Apartment,Apartment,"195,000",1070,Brussels,75,Not installed,No,No,0,No,0,Yes,2,0,2,No,To renovate
2,Apartment,Ground floor,"196,000",2850,Antwerpen,90,Installed,Yes,No,0,No,0,Yes,20,0,2,No,Good
2,Apartment,Apartment,"198,000",7090,Henegouwen,86,Hyper equipped,0,No,0,No,0,Yes,27,0,3,No,As new
2,Apartment,Apartment,"198,000",8900,West-vlaanderen,0,Semi equipped,No,No,0,No,0,No,0,0,2,No,To be done up
2,Apartment,Apartment,"199,000",1070,Brussels,70,Semi equipped,No,No,0,No,0,Yes,7,0,0,No,Good
1,Apartment,Studio,"199,000",3000,Vlaams-brabant,24,0,No,No,0,No,0,No,0,0,2,No,Just renovated
2,Apartment,Apartment,"199,000",4500,Luik,87,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"199,000",4500,Luik,87,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"202,500",4430,Luik,99,Installed,No,No,0,No,0,Yes,8,0,0,No,Unknown
2,Apartment,Apartment,"204,000",4500,Luik,87,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"204,000",4500,Luik,87,Not installed,No,No,0,No,0,Yes,5,0,2,No,Unknown
2,Apartment,Apartment,"209,000",6900,Luxemburg,123,Installed,No,No,0,No,0,Yes,9,0,3,No,Unknown
2,Apartment,Apartment,"211,000",4430,Luik,119,Installed,No,No,0,No,0,Yes,13,0,0,No,Unknown
2,Apartment,Apartment,"215,000",1020,Brussels,82,Hyper equipped,No,No,0,No,0,Yes,7,0,2,No,Good
3,Apartment,Apartment,"215,000",6700,Luxemburg,100,Installed,No,No,0,No,0,No,0,0,0,No,Good
1,Apartment,Apartment,"220,000",1000,Brussels,56,Installed,No,No,0,No,0,No,0,0,2,No,To be done up
2,Apartment,Duplex,"220,000",1020,Brussels,88,USA installed,No,No,0,No,0,No,0,0,2,No,Good
0,Apartment,Studio,"220,000",1140,Brussels,40,USA hyper equipped,Yes,No,0,No,0,No,0,0,2,No,As new
2,Apartment,Apartment,"220,000",6790,Luxemburg,75,0,No,No,0,No,0,No,0,0,0,No,Unknown
3,Apartment,Apartment,"220,790",6950,Henegouwen,109,Installed,No,No,0,No,0,Yes,12,0,2,No,Unknown
1,Apartment,Apartment,"225,000",2640,Antwerpen,60,0,No,No,0,No,0,Yes,5,0,2,No,Unknown
1,Apartment,Apartment,"225,000",8790,West-vlaanderen,68,0,No,No,0,No,0,Yes,5,0,4,No,Good
2,Apartment,Ground floor,"229,000",1020,Brussels,65,Installed,No,No,0,Yes,53,Yes,6,0,2,No,Good
2,Apartment,Apartment,"229,000",1200,Brussels,72,Installed,No,No,0,No,0,Yes,4,0,2,No,To renovate
3,Apartment,Apartment,"230,000",6790,Luxemburg,155,Installed,No,No,0,No,0,No,0,0,2,No,Good
3,Apartment,Apartment,"230,957",6950,Henegouwen,109,Installed,No,No,0,No,0,Yes,12,0,3,No,Unknown
2,Apartment,Apartment,"235,000",1080,Brussels,93,USA hyper equipped,Yes,No,0,No,0,Yes,4,0,2,No,Good
2,Apartment,Apartment,"235,000",4590,Luik,100,Installed,Yes,No,0,Yes,70,Yes,20,0,2,No,Good
2,Apartment,Apartment,"235,000",8530,West-vlaanderen,88,Hyper equipped,No,No,0,No,0,Yes,7,0,0,No,Unknown
4,Apartment,Loft,"235,000",9600,Oost-vlaanderen,180,Installed,No,No,0,No,0,No,0,0,0,No,Good
2,Apartment,Apartment,"240,000",6600,Luxemburg,103,Installed,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"240,000",8530,West-vlaanderen,90,Hyper equipped,No,No,0,No,0,Yes,7,0,0,No,Unknown
