Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
8,Apartment,Apartment block,"875,000",0,Unknown,400,0,No,No,0,Yes,75,No,0,180,2,No,To renovate
4,House,House,"445,000",9050,Oost-vlaanderen,215,Installed,No,No,0,Yes,1,Yes,45,257,2,No,As new
2,Apartment,Apartment,"340,000",1190,Brussels,92,Installed,No,No,0,No,0,Yes,6,0,2,No,Unknown
4,Apartment,Ground floor,"595,000",1950,Vlaams-brabant,155,Hyper equipped,No,No,0,Yes,150,No,0,0,0,No,Good
2,Apartment,Penthouse,"699,000",1160,Brussels,130,Installed,0,No,0,No,0,Yes,39,0,0,No,As new
3,Apartment,Penthouse,"799,000",1160,Brussels,164,Installed,0,No,0,No,0,Yes,20,0,0,No,As new
6,House,House,"185,000",6000,Henegouwen,190,Installed,No,No,0,No,0,No,0,0,3,No,Good
3,House,Villa,"325,000",4280,Luik,266,Installed,No,No,0,No,0,No,0,1414,0,No,Good
3,House,House,"395,000",0,Unknown,140,0,No,No,0,Yes,350,No,0,490,3,No,As new
3,House,House,"485,000",2300,Antwerpen,358,Semi equipped,No,Yes,1,Yes,112,Yes,25,256,2,No,As new
5,House,Villa,"712,000",3110,Vlaams-brabant,419,Hyper equipped,No,No,0,Yes,900,No,0,1050,0,No,As new
2,Apartment,Penthouse,"245,000",9770,Oost-vlaanderen,90,Installed,No,No,0,No,0,No,0,0,2,No,Unknown
2,Apartment,Apartment,"245,000",9770,Oost-vlaanderen,90,Installed,No,No,0,No,0,No,0,0,2,No,Unknown
3,Apartment,Apartment,"295,000",9770,Oost-vlaanderen,138,Installed,No,No,0,No,0,No,0,0,4,No,Unknown
2,House,House,"250,000",1140,Brussels,80,0,No,No,0,No,0,No,0,59,2,No,Unknown
4,House,House,"295,000",8820,West-vlaanderen,235,Hyper equipped,0,Yes,1,No,0,Yes,30,359,2,No,Just renovated
5,House,Exceptional property,"775,000",6700,Luxemburg,380,Hyper equipped,No,Yes,2,No,0,Yes,45,1130,3,No,As new
2,Apartment,Apartment,"249,000",9040,Oost-vlaanderen,100,Installed,No,No,0,No,0,No,0,0,3,No,Good
1,Apartment,Apartment,"260,000",1050,Brussels,70,0,No,No,0,No,0,No,0,0,2,No,Good
1,Apartment,Apartment,"285,000",8790,West-vlaanderen,95,Hyper equipped,No,No,0,Yes,1000,Yes,13,0,2,No,As new
2,Apartment,Apartment,"299,000",9040,Oost-vlaanderen,100,Installed,No,No,0,Yes,60,Yes,12,0,3,No,Good
2,House,House,"195,000",2850,Antwerpen,75,0,No,No,0,Yes,60,No,0,129,2,No,Just renovated
3,House,Villa,"385,000",1730,Vlaams-brabant,191,0,No,Yes,1,No,0,No,0,1021,4,No,Unknown
3,House,Country house,"385,000",1730,Vlaams-brabant,191,0,No,Yes,1,No,0,No,0,1021,4,No,Unknown
4,House,House,"362,500",2820,Antwerpen,196,Semi equipped,No,No,0,Yes,1304,Yes,21,1500,4,No,To renovate
4,House,House,"424,000",2640,Antwerpen,130,Installed,No,No,0,Yes,95,Yes,21,175,2,No,As new
1,Apartment,Apartment,"218,500",9700,Oost-vlaanderen,92,0,No,No,0,No,0,No,0,0,2,No,Unknown
2,Apartment,Penthouse,"412,300",4000,Luik,125,Not installed,No,No,0,No,0,Yes,59,0,4,No,As new
2,Apartment,Penthouse,"412,300",4432,Luik,125,Not installed,No,No,0,No,0,Yes,59,0,4,No,As new
2,Apartment,Duplex,Reserve,4350,Luik,179,Not installed,0,No,0,No,0,No,0,0,0,No,As new
